Bird,ORICOLL,AGECOLL,MTHCOLL,AGECURR,scapsH,scapsS,scapsB,breastH,breastS,breastB,crownH,crownS,crownB
77,arquata,ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,arquata,ad,oct,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,arquata,ad,oct,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,arquata,ad,oct,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,arquata,ad,oct,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,arquata,ad,oct,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,arquata,ad,sep,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,arquata,ad,sep,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,arquata,ad,sep,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,arquata,ad,aug,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,arquata,ad,jul,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,arquata,ad,jul,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,arquata,ad,apr,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,arquata,ad,apr,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,arquata,ad,apr,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,arquata,ad,apr,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,arquata,ad,apr,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,arquata,ad,apr,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,arquata,ad,apr,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,arquata,ad,apr,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,arquata,NA,may,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,arquata,1y,aug,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,arquata,ad,apr,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,arquata,ad,apr,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,arquata,ad,apr,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,arquata,ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,arquata,ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,arquata,ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,arquata,ad,mar,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,arquata,ad,oct,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,arquata,ad,oct,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,arquata,ad,may,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,arquata,ad,dec,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,arquata,ad,sep,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,arquata,ad,may,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,arquata,NA,apr,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
