IDSPEC1,ORICOLL2,AGECOLL3,SEX4,MTHCOLL5,AGECURR6,SCAPSH7,SCAPSS8,SCAPSB9,BREASTH10,BREASTS11,BREASTB12,CROWNH13,CROWNS14,CROWNB15,CONTROLH16,CONTROLS17,CONTROLB18,WING19,BILL20,BILLDEPTH21,BILL1DEPTH22,TARSUS23,TARSUSTHICK24,TARSUS2THICK25,TOE26,TAIL27,COORDSX28,COORDSY29
1934.1.1.2799,arquata,ad,m,may,1898,28.16611765,59.81294118,15.54901961,29.20235294,58.87294118,26.36784314,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,276,,12.47,8.88,,,,5.3,94,-4.458687987,37.5481304
93.2.19.67,arquata,ad,,nov,1881,32.47623529,58.71647059,9.602745098,30.14258824,64.52745098,21.51176471,27.95576471,63.73137255,14.21215686,NA,NA,NA,283,130.3,13.37,9.2,79.55,6.11,4.31,5.7,108,-1.245340015,47.0570144
1949.1.1183,arquata,ad,,jan,1949,33.71011765,58.60117647,11.05843137,29.63011765,61.01058824,24.38980392,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,298,158,14.28,9.93,84.88,6.48,4.8,5.93,105,-1.635348256,43.3811599
1902.8.14.1,arquata,ad,,dec,1902,32.00329412,59.86470588,11.57803922,31.488,59.30392157,32.73098039,27.73835294,56.21333333,24.22862745,34.427,252.872,212.243,294,139.88,13.7,9.79,77.26,7.11,4.88,4.51,102,-1.115842316,44.7271131
1925.12.25.81,arquata,ad,f,mar,1925,38.50305882,57.25019608,10.98901961,30.55905882,56.06980392,27.09176471,28.58964706,55.4345098,18.69058824,NA,NA,NA,309,174,,,,,,5.51,101,10.76007002,34.7800731
1965M.3007,arquata,ad,f,mar,1916,31.296,58.55372549,9.614117647,29.30541176,59.50117647,24.55490196,27.59717647,55.66,13.58117647,34.599,248.619,217.001,,,,,,,,,,-3.096545496,58.4534487
1965M.2994,arquata,ad,f,mar,1909,33.48141176,55.0254902,11.24980392,29.92376471,55.57764706,28.80901961,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,-5.052578849,54.9043155
1965M.3005,arquata,ad,m,dec,1915,30.65082353,57.39607843,11.90627451,30.48141176,56.64666667,30.07686275,28.90729412,56.12156863,13.70823529,NA,NA,NA,,,,,,,,,,-4.030460699,10.76007002
1965M.3004,arquata,ad,m,nov,1915,30.81176471,58.4772549,11.71215686,30.26541176,56.9772549,28.91176471,28.25929412,59.94823529,17.49411765,NA,NA,NA,,,,,,,,,,-4.029166567,57.8730751
1965M.3006,arquata,ad,f,aug,1918,31.36941176,57.02313725,9.257254902,28.40611765,53.81098039,26.48078431,29.11623529,52.66470588,14.99803922,NA,NA,NA,,,,,,,,,,-4.010510282,57.6695108
1965M.3008,arquata,ad,m,mar,1916,32.47058824,54.82313725,11.69372549,29.13317647,58.25647059,22.77058824,27.41788235,55.22941176,14.68627451,35.083,248.055,217.892,,,,,,,,,,-3.123687198,58.4435603
1965M.2998,arquata,ad,NA,dec,1965,30.63811765,56.4054902,11.38392157,29.62305882,59.16980392,29.64,28.37223529,59.13882353,18.10862745,NA,NA,NA,,,,,,,,,,-3.648434814,57.6304895
1965M.2993,arquata,1y,m,aug,1912,29.04847059,59.98627451,12.30313725,31.37505882,58.4254902,26.23215686,27.6,56.50235294,14.07607843,NA,NA,NA,,,,,,,,,,-3.896141739,57.7765223
1965M.3009,arquata,ad,m,mar,1916,34.2,57.53019608,9.942352941,29.27152941,57.28352941,27.20588235,29.52,53.61960784,11.68392157,NA,NA,NA,,,,,,,,,,-3.111160426,58.4479096
1965M.2999,arquata,ad,f,dec,1913,32.87152941,59.48078431,10.15882353,29.84329412,57.38588235,26.73372549,27.90070588,57.04117647,19.65960784,NA,NA,NA,,,,,,,,,,-4.069729718,57.5250773
1965M.3003,arquata,ad,f,nov,1915,28.512,60.8854902,13.39019608,28.85788235,54.52901961,30.26313725,26.89411765,56.36509804,19.12784314,35.002,248.807,223.475,,,,,,,,,,-4.02045,57.86745
1965M.3001,arquata,1y,f,jul,1916,31.28894118,59.69607843,10.97921569,29.86023529,56.96470588,31.24862745,28.06447059,57.88705882,16.69294118,NA,NA,NA,,,,,,,,,,-4.423045146,57.617188
1965M.2997,arquata,ad,m,oct,1913,31.19011765,57.44039216,12.60470588,29.79952941,57.91411765,28.56627451,30.62682353,53.95843137,16.55254902,NA,NA,NA,,,,,,,,,,-4.027008648,57.5464894
1965M.2995,arquata,1y,f,aug,1913,30.93317647,58.43921569,8.503529412,31.07717647,57.12078431,24.74078431,27.624,56.81176471,7.673333333,NA,NA,NA,,,,,,,,,,-4.34313,57.50734
1965M.3000,arquata,ad,m,dec,1913,37.54729412,56.85372549,10.90431373,29.87152941,60.00666667,28.1654902,28.70258824,54.63098039,17.89294118,NA,NA,NA,,,,,,,,,,-4.3152,57.50565
72.10.17.86,arquata,1y,NA,sep,1872,32.41835294,57.38039216,8.135294118,30.73552941,65.69058824,23.15686275,28.68423529,59.06313725,12.17607843,34.661,249.525,220.28,,,,,,,,,,-0.744030934,50.7677012
1951.18.328,arquata,ad,f,jan,1923,30.89788235,57.03411765,9.941568627,29.71482353,59.67333333,23.22705882,27.144,54.71686275,15.07215686,NA,NA,NA,,,,,,,,,,0.19433751,53.0808238
91.8.1.127,arquata,1y,NA,aug,1870,34.08282353,54.56509804,8.008627451,31.42870588,56.06313725,26.22627451,28.94117647,50.2627451,14.3972549,NA,NA,NA,318.68,152,14.26,10.62,89.31,6.72,5.31,5.36,118,0.097050999,50.7946874
1951.18.329,arquata,ad,NA,jan,1931,38.50305882,53.51019608,9.620784314,31.64470588,62.18627451,18.91294118,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,0.992545412,52.9579977
1?,arquata,1y,m,jun,1882,38.53694118,57.53215686,7.88627451,29.40564706,61.35529412,30.25960784,30.20047059,59.95490196,10.68784314,NA,NA,NA,,,,,,,,,,1.075983415,52.9555512
73.6.4.6,arquata,ad,NA,sep,1870,30.97552941,60.79882353,12.62196078,31.248,58.98705882,33.21058824,#VALUE!,#VALUE!,#VALUE!,34.163,246.111,229.384,319.66,151.21,14.08,10.54,92.94,7.56,5.02,5.49,109,-0.629958569,50.7946959
1984.1.1.906,arquata,ad,f,oct,1909,37.91717647,55.47568627,9.102352941,31.248,58.98705882,33.21058824,29.70211765,55.99176471,13.41686275,NA,NA,NA,,,,,,,,,,0.131416331,53.6199896
1913.5.13.32,arquata,1y,NA,sep,1907,31.11670588,55.76745098,10.47019608,30.02258824,55.11607843,23.13568627,29.47058824,58.80431373,8.130196078,NA,NA,NA,,,,,,,,,,-2.816243185,55.2447551
1919.12.10.589,arquata,1y,m,sep,1919,33.16517647,55.21372549,7.650980392,30.01270588,62.96156863,24.24470588,32.36047059,54.79607843,6.858823529,NA,NA,NA,,,,,,,,,,-5.42413,56.4434
1919.12.10.593,arquata,ad,m,feb,1893,33.30352941,55.9145098,10.90235294,28.88470588,60.92431373,28.05764706,29.80941176,58.24745098,9.432941176,NA,NA,NA,,,,,,,,,,1.59673,52.16221
1914.9.30.71,arquata,ad,NA,dec,1896,31.95388235,57.28588235,12.55176471,30.27952941,59.44156863,24.45019608,28.43011765,58.92588235,12.81568627,34.888,243.512,228.166,,,,,,,,,,-3.26232,57.57577
1934.1.1.2803,arquata,1y,m,aug,1911,41.256,57.03098039,7.033333333,27.96141176,63.7654902,23.2227451,29.592,60.52352941,9.901960784,NA,NA,NA,,,,,,,,,,-4.53443,55.53705
1919.12.10.590,arquata,ad,m,dec,1910,33.57741176,55.32862745,9.725098039,30.18917647,55.00823529,26.07843137,28.08564706,56.40666667,13.01254902,NA,NA,NA,,,,,,,,,,-5.37868167,56.4877128
1952.19.101,arquata,ad,NA,jan,1900,29.65270588,59.44156863,14.37764706,29.61176471,60.67686275,29.51921569,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,-5.903519991,57.227663
90.2.5.1,arquata,ad,NA,jan,1890,#VALUE!,#VALUE!,#VALUE!,27.57176471,56.51058824,27.41490196,#VALUE!,#VALUE!,#VALUE!,33.851,247.624,223.8,,,,,,,,,,-8.630852401,54.74813
1934.1.1.2798,arquata,1y,m,aug,1897,31.64188235,59.19960784,7.655686275,31.28752941,57.47882353,27.38588235,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,0.135706522,53.6201974
1934.1.1.2804,arquata,1y,f,aug,1912,32.83058824,55.78196078,10.40666667,28.05458824,55.21294118,20.14470588,30.85270588,50.31215686,13.94352941,NA,NA,NA,,,,,,,,,,-2.223623074,55.0891365
1919.12.10.596,arquata,ad,m,dec,1910,30.10305882,55.21137255,13.5027451,29.85458824,57.21294118,26.43058824,31.27623529,56.77254902,11.27411765,NA,NA,NA,,,,,,,,,,-9.425485243,53.2528624
1941.5.30.1783,arquata,ad,m,may,1919,30.85976471,56.02039216,12.59843137,30.40094118,55.7772549,26.89372549,31.69129412,56.95098039,9.226666667,NA,NA,NA,,,,,,,,,,-1.799088955,55.6764029
13.1856,arquata,ad,NA,dec,1884,30.87247059,58.96509804,9.609019608,31.20423529,59.85058824,27.90745098,27.26964706,60.39921569,16.5372549,34.782,241.11,230,,,,,,,,,,-3.929527455,50.3307893
1934.1.1.2801,arquata,ad,m,sep,1906,34.85929412,53.39607843,10.30431373,28.83247059,56.71843137,31.73882353,28.59388235,51.59843137,15.90156863,NA,NA,NA,,,,,,,,,,-9.967405936,53.9117726
1934.1.1.2797,arquata,ad,m,feb,1897,32.94211765,57.82156863,10.03921569,29.53835294,58.60705882,26.98078431,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,0.133633666,53.6206281
1922.11.6.1,arquata,1y,m,sep,1922,28.97505882,56.67333333,12.91294118,30.17364706,58.10823529,25.66784314,27.69176471,55.64313725,16.27294118,NA,NA,NA,,,,,,,,,,-1.798003534,55.6774227
1941.5.30.1781,arquata,ad,m,sep,1913,35.16988235,55.38901961,8.31254902,28.89317647,56.91490196,27.40156863,26.08094118,56.36039216,17.14627451,NA,NA,NA,,,,,,,,,,-2.569509045,59.0318131
1941.5.30.1787,arquata,ad,f,may,1912,31.20705882,50.79058824,11,30.52235294,52.54078431,28.71411765,#VALUE!,#VALUE!,#VALUE!,34.648,241.827,211.384,,,,,,,,,,-1.120180305,57.4355258
1934.1.1.2805,arquata,1y,f,sep,1912,28.86635294,60.40156863,9.08627451,28.93411765,61.14,21.38666667,27.20470588,57.48039216,14.57764706,NA,NA,NA,,,,,,,,,,-1.799249003,55.6735421
83.7.1.1,arquata,NA,NA,NA,1883,30.16235294,60.95803922,10.96745098,29.52988235,59.07176471,25.0945098,27.64376471,57.75529412,15.84705882,NA,NA,NA,,,,,,,,,,-4.226598902,57.4737882
1919.12.10.592,arquata,ad,m,nov,1910,34.17882353,56.21882353,7.694509804,29.87435294,60.51960784,27.07803922,28.02494118,58.13568627,12.52784314,NA,NA,NA,,,,,,,,,,-5.381884353,56.4574153
1920.11.21.13,arquata,1y,f,nov,1920,34.46964706,55.73686275,9.316078431,30.28376471,58.59176471,27.28627451,27.24423529,54.53529412,13.44313725,NA,NA,NA,,,,,,,,,,-7.344858126,57.225723
1919.12.10.587,arquata,1y,f,sep,1908,35.53552941,54.40784314,9.142352941,29.34070588,54.18745098,24.80313725,31.28894118,57.88,8.038039216,35.527,243.435,225.883,,,,,,,,,,-5.411354107,56.4208425
1908.1.8.310,arquata,ad,NA,dec,1881,29.42682353,57.04352941,11.51843137,28.92564706,54.84705882,29.23882353,27.23011765,53.96156863,17.59254902,NA,NA,NA,,,,,,,,,,0.116868739,53.0321762
1925.3.10.2,arquata,1y,NA,jun,1924,34.94541176,58.80352941,9.080392157,29.28282353,56.96117647,25.39176471,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,-2.223794923,55.1422072
1941.5.30.1779,arquata,1y,m,sep,1913,34.76894118,54.78039216,9.005098039,30.72282353,54.24941176,29.40705882,30.01552941,60.71058824,9.480392157,NA,NA,NA,293,126.86,14.24,8.74,82.34,6.86,5.25,5.66,100,1.579250625,52.1042757
1922.1.21.72,arquata,ad,f,jan,1892,32.34352941,58.07568627,12.1145098,30.22164706,57.08627451,29.51058824,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,-4.433235993,55.6108348
1934.1.1.2796,arquata,ad,m,dec,1896,33.83435294,54.5572549,11.23647059,29.34635294,58.72039216,25.5827451,27.67058824,55.27294118,18.34039216,34.838,242.314,210.795,,,,,,,,,,0.138791953,53.6189678
81...(label cut),arquata,ad,m,jun,1882,31.90305882,56.72,10.06705882,30.00705882,56.73686275,21.39921569,27.03952941,54.42352941,15.39333333,NA,NA,NA,,,,,,,,,,-4.125450771,57.4920985
89.12.31.24,arquata,ad,NA,jan,1890,33.19905882,55.52235294,10.52627451,29.92658824,53.0745098,34.45058824,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,-3.013766973,51.5449531
96.7.1.948,arquata,1y,f,jul,1867,32.43952941,56.1054902,10.76941176,29.65552941,62.1972549,23.30117647,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,-3.159219974,53.2297706
89.12.31.25,arquata,ad,f,jan,1890,31.82258824,56.22470588,10.19960784,29.61458824,51.80392157,35.94980392,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,-3.027019303,51.530615
1922.8.22.1,arquata,1y,NA,jul,1922,33.02117647,58.50901961,7.644705882,28.21976471,58.46235294,24.7745098,29.07529412,58.46352941,9.547058824,34.865,241.971,225.355,,,,,,,,,,-1.55802179,55.3156174
1922.11.21.2,arquata,ad,m,dec,1922,32.53129412,57.98823529,9.827058824,29.82070588,57.24980392,31.51098039,30.57741176,61.29176471,8.660392157,NA,NA,NA,,,,,,,,,,-1.794880469,55.6799511
93.12.20.2,arquata,ad,m,dec,1893,33.54211765,58.07960784,9.38745098,29.58635294,60.67529412,25.67529412,28.11670588,57.09058824,11.31215686,NA,NA,NA,,,,,,,,,,-9.782611045,52.3188218
1922.11.6.2,arquata,ad,f,sep,1922,31.79294118,56.68666667,10.82078431,29.25458824,55.52156863,30.08588235,28.64329412,56.32235294,15.23686275,NA,NA,NA,,,,,,,,,,-1.79836937,55.6795953
43.5.15.15,arquata,ad,NA,dec,1843,30.73694118,57.83058824,12.45372549,32.30541176,58.20039216,34.65529412,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,0.343941807,52.7488587
92.8.3.444,arquata,ad,f,mar,1892,37.29176471,56.21803922,8.322352941,28.74917647,55.84941176,23.90078431,#VALUE!,#VALUE!,#VALUE!,35.038,242.848,192.125,,,,,,,,,,-3.10295517,59.0782413
1934.1.1.906,arquata,1y,m,sep,1897,30.89364706,57.6054902,7.799215686,30.50964706,54.67764706,24.68235294,27.54917647,59.30745098,9.777647059,NA,NA,NA,,,,,,,,,,0.136932962,53.6169977
1941.5.30.1782,arquata,ad,m,sep,1913,31.36941176,55.81921569,10.06745098,28.83105882,56.4027451,29.18078431,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,-2.571459796,59.0291367
82.6.16.2,arquata,ad,m,jun,1882,33.37694118,56.70313725,10.94117647,29.92235294,58.9027451,24.4654902,29.06682353,58.93137255,8.806666667,NA,NA,NA,,,,,,,,,,-3.991421507,57.5770784
94.2.19.69,arquata,ad,m,mar,1894,28.88894118,60.95607843,11.16392157,30.73270588,56.23764706,27.46784314,29.87717647,62.87137255,11.93647059,33.868,247.496,220.898,,,,,,,,,,-3.098165286,58.9748722
91.10.1.1839,orientalis,ad,f,nov,1871,29.14588235,58.95803922,16.43607843,30.87105882,55.96705882,38.20509804,28.15482353,60.16117647,20.4345098,NA,NA,NA,304,170,15.97,11.16,85.89,6.2,4.37,6.09,104,74.74855318,34.651029
91.10.1.1837,orientalis,ad,f,nov,1871,30.81458824,60.92627451,9.076078431,30.76094118,57.30901961,30.49294118,28.30588235,58.80431373,18.97294118,34.415,248.307,227.369,311,182,16.16,11.18,90.93,7.02,4.76,6.4,119,74.7463538,34.6456997
