IDSPEC1,ORICOLL2,AGECOLL3,SEX4,MTHCOLL5,AGECURR6,SCAPSH7,SCAPSS8,SCAPSB9,BREASTH10,BREASTS11,BREASTB12,CROWNH13,CROWNS14,CROWNB15,CONTROLH16,CONTROLS17,CONTROLB18,WING19,BILL20,BILLDEPTH21,BILL1DEPTH22,TARSUS23,TARSUSTHICK24,TARSUS2THICK25,TOE26,TAIL27,COORDSX28,COORDSY29
91.10.1.1852,orientalis,ad,NA,dec,1878,#VALUE!,#VALUE!,#VALUE!,31.08988235,54.42784314,25.58823529,29.42258824,52.97764706,20.46235294,NA,NA,NA,279,134.75,13.12,9.2,87.45,6.42,4.5,5.66,99,79.75855614,28.5327891
1949.Whi.1.1177,orientalis,1y,m,nov,1918,31.24658824,58.10745098,10.19176471,30.70870588,58.34078431,26.07803922,27.39105882,55.9854902,14.15372549,NA,NA,NA,288,137.63,14.91,10.22,88.07,5.58,3.95,6.08,107,71.46411972,30.2018331
91.10.1.1842,orientalis,ad,f,nov,1871,31.90164706,60.39019608,14.81019608,30.62682353,63.76705882,28.94313725,28.02776471,61.75254902,16.97607843,NA,NA,NA,297,173,13.9,9.89,85.09,6.14,4.37,5.78,109,73.72178261,32.9238326
91.10.1.1881,orientalis,ad,f,feb,1876,30.39670588,59.89215686,15.36823529,31.87764706,54.94745098,42.16235294,27.39529412,59.34980392,19.21607843,NA,NA,NA,305,162,15.21,10.36,91.14,6.7,4.14,5.52,103,96.91489739,17.0169818
1936.1.7.806,orientalis,ad,m,apr,1932,29.65835294,56.2572549,18.66509804,32.45082353,60.50078431,35.60117647,28.07576471,57.22784314,20.9827451,35.105,250.515,198.348,279,145.33,14.48,,83.81,5.5,3.84,6.36,99,95.9815246,21.8427285
1906.12.21.118,orientalis,ad,m,mar,1906,34.18164706,61.51647059,13.23137255,29.04,59.21176471,31.86745098,29.22352941,63.84,15.90470588,NA,NA,NA,308,143.96,16.34,10.2,81.55,5.16,4.18,5.38,105,44.44686981,-12.2429662
1939.12.9.3386,orientalis,ad,f,jan,1892,28.67858824,60.57647059,12.57176471,30.63529412,58.64117647,35.48039216,26.48329412,60.71882353,14.19254902,NA,NA,NA,313,164,14.95,9.84,93.49,6.63,4.72,6.15,99,48.83007312,38.7514836
79.4.5.1317,orientalis,1y,,oct,1857,34.10117647,59.04039216,6.301568627,28.52470588,59.49843137,18.41921569,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,130.48,14.21,9.05,78.11,5.85,4.49,4.07,101,14.27848882,67.3684613
91.10.1.1835,orientalis,ad,m,dec,1871,30.58164706,60.17411765,12.11176471,30.00705882,57.62156863,29.84196078,27.80894118,61.19843137,14.05843137,NA,NA,NA,299,145.84,13.03,9.7,82.44,5.91,4.47,5.75,109,71.20190901,29.7262688
1948.19.23,orientalis,ad,m,oct,1943,30.76658824,57.69843137,14.14784314,31.20282353,55.04156863,35.6172549,27.86258824,59.02509804,16.37098039,NA,NA,NA,,128.6,14.99,10.23,79.72,5.74,4.53,4.92,108,71.35825272,30.0695142
1948.19.24,orientalis,1y,f,oct,1943,28.51482353,59.20235294,12.70980392,31.10541176,55.85215686,32.37529412,27.59858824,62.6372549,15.17882353,NA,NA,NA,302,161,15.58,11.62,88.75,5.89,4.5,5.59,100,73.71874764,32.9287777
94.2.19.50,orientalis,ad,,dec,1869,28.82823529,58.36470588,13.81960784,31.24517647,50.20823529,46.14627451,26.68235294,60.11686275,17.67137255,NA,NA,NA,292,156,15.24,9.68,,,,6.34,,78.47437187,17.3752588
91.10.1.1855,orientalis,ad,m,mar,1880,31.86070588,58.14901961,8.154117647,30.68470588,55.84392157,35.13960784,26.77552941,58.72235294,14.00666667,35.271,251.235,196.585,289,,14.94,,81.84,,,5.58,96,81.85426067,25.4521456
1985.2.5,orientalis,ad,f,nov,1965,32.24611765,59.25176471,12.02901961,30.32188235,58.3454902,30.17490196,28.35388235,66.51137255,16.43098039,NA,NA,NA,304,169,14.27,9.79,84.82,6.31,4.09,5.62,105,68.44967738,28.2824981
91.10.1.1838,orientalis,ad,,feb,1872,#VALUE!,#VALUE!,#VALUE!,27.54494118,49.53372549,26.15254902,32.89552941,59.10352941,10.30980392,NA,NA,NA,288,128.16,13.17,9.37,81.44,5.49,3.88,5.43,99,67.03502289,24.8816075
1925.12.23.890,orientalis,ad,,dec,1925,32.45788235,59.41176471,13.06078431,28.64894118,55.87019608,34.33529412,28.25364706,58.49882353,17.07019608,NA,NA,NA,302,191,13.84,10.64,86.32,6.73,4.29,5.63,98,76.54759288,25.1828676
1925.12.23.891,orientalis,1y,f,oct,1887,31.08705882,58.57058824,9.654901961,31.33835294,52.02,37.7854902,28.26494118,57.88705882,14.33098039,NA,NA,NA,289,137.1,13.53,10.6,82.75,5.85,4.24,5.42,102,73.77162453,20.0078298
94.2.19.58,orientalis,ad,f,feb,1871,32.184,59.60313725,12.21411765,30.39670588,58.51960784,30.4345098,#VALUE!,#VALUE!,#VALUE!,35.164,252.106,189.896,293,NA,14.69,11,90.04,6.66,4.26,6.73,108,79.02870077,26.7881619
91.10.1.1841,orientalis,ad,NA,nov,1871,29.28705882,61.43137255,14.72235294,29.79529412,61.65098039,27.28117647,29.90117647,60.03843137,21.04,NA,NA,NA,,170,13.63,10.84,81.41,6.39,5.23,5.53,110,73.69982369,32.9401653
91.10.1.1876,orientalis,ad,m,feb,1876,28.93411765,56.3054902,6.980784314,31.23811765,52.15411765,38.25254902,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,281,126.41,13.2,8.77,75.6,5.91,3.9,6.05,98,77.69837669,22.5712245
91.10.1.1885,orientalis,1y,m,nov,1874,28.33694118,59.89568627,13.50392157,30.75247059,55.27647059,29.4572549,27.07058824,61.19843137,15.95764706,NA,NA,NA,272,133.8,13.16,9.9,78.53,5.63,4.09,5.46,100,98.61213212,12.4473505
91.10.1.1878,orientalis,ad,f,dec,1879,30.32752941,57.88666667,15.75529412,30.88658824,48.16588235,46.52705882,28.46541176,58.41254902,20.35607843,NA,NA,NA,295,164,15.22,10.05,86.28,5.98,4.58,5.62,109,72.82847715,19.4272823
91.10.1.1859,orientalis,ad,f,feb,1878,28.89317647,59.40431373,17.43333333,30.48282353,49.76392157,36.33529412,27.15105882,53.32980392,25.02941176,34.99,251.776,187.539,292,142.8,13.69,8.77,85.1,5.45,3.99,4.97,105,73.67211592,10.8091039
1955.1.997,orientalis,ad,f,nov,1923,28.33552941,59.24745098,19.34156863,33.60564706,54.82823529,45.76941176,28.07294118,57.16980392,16.89137255,NA,NA,NA,287,181,16.5,12.71,87.2,6.64,4.62,5.18,107,102.4644516,15.198808
1955.1.989,orientalis,1y,f,oct,1917,28.09552941,57.18313725,13.12941176,31.83529412,48.79529412,35.38078431,28.992,61.47921569,16.64392157,NA,NA,NA,281,120.61,13.56,8.54,,,,5.22,97,100.5214872,13.7783132
1955.1.992,orientalis,ad,m,sep,1915,29.70635294,57.72745098,13.2427451,31.58258824,59.21254902,37.52196078,28.464,63.00588235,16.62235294,NA,NA,NA,293,166,15.62,10.38,81.81,5.94,4.27,5.08,109,100.1912151,14.3067414
1955.1.993,orientalis,ad,m,sep,1915,29.88705882,60.85882353,12.57647059,32.92235294,53.5972549,50.04117647,28.59247059,61.31607843,20.37607843,NA,NA,NA,,181,15.95,11.17,83.22,6.26,4.72,6.63,115,100.1906752,14.3112197
1932.5.14.22,orientalis,ad,f,feb,1932,29.90682353,57.36862745,16.72078431,31.58541176,56.14901961,37.65372549,28.78164706,58.93803922,18.80941176,33.626,253.801,209.414,305,180,16.22,10.02,88.18,,,5.66,118,107.6583,11.6008541
1937.12.26.4,orientalis,1y,NA,oct,1937,#VALUE!,#VALUE!,#VALUE!,32.16988235,63.70156863,29.74039216,28.85505882,63.76941176,18.28941176,NA,NA,NA,308,161,14.53,,87.34,6.29,4.92,6.23,109,39.155416,24.3818874
1935.12.15.38,orientalis,ad,NA,aug,1934,29.50588235,62.49568627,12.30039216,32.21505882,63.73294118,29.53803922,27.99811765,63.12039216,15.74941176,NA,NA,NA,,162,15.87,10.85,,,,5.33,103,41.01792615,20.7034087
1931.7.8.58,orientalis,ad,f,mar,1930,31.92705882,59.57411765,12.89803922,31.18588235,47.52901961,53.97411765,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,301,162,14.66,11.51,83.78,6.23,4.53,5.28,108,68.45892424,43.1164293
1947.14.118,orientalis,ad,f,may,1921,28.25929412,61.2054902,13.37058824,29.232,56.91372549,27.75803922,27.65505882,62.13882353,11.32588235,NA,NA,NA,284,141,13.85,9.4,85.19,6.13,4.12,5.55,91,35.63697562,33.0582534
80.1.1.1081,orientalis,ad,f,mar,1886,32.65270588,60.26156863,11.02431373,29.02305882,56.39607843,28.87137255,30.06917647,63.47843137,14.35647059,34.609,252.917,181.673,,134,14.31,,84.46,6.59,,5.2,101,44.47282695,32.4492447
1940.12.1.5,orientalis,ad,f,jan,1938,30.54211765,58,13.14431373,30.24847059,55.54196078,35.69921569,27.87105882,60.4572549,17.22588235,NA,NA,NA,275,122.06,12.47,8.65,80.75,6.76,4.12,5.84,110,20.53914498,44.79886
1923.8.7.770,orientalis,ad,m,feb,1919,32.31247059,59.35764706,11.85568627,31.07576471,49.6054902,40.82313725,27.14964706,56.92117647,20.06627451,NA,NA,NA,285,139.77,,,82.06,5.67,4.37,5.36,102,45.31773323,9.8051872
1934.9.20.17,orientalis,ad,m,mar,1934,31.20564706,58.7572549,13.02078431,31.24517647,55.6,38.61490196,27.55482353,58.94196078,15.87019608,NA,NA,NA,278,144.98,13.53,,82.59,5.95,4.23,5.3,100,39.42291715,20.9744225
1930.3.12.35,orientalis,ad,NA,jan,1927,#VALUE!,#VALUE!,#VALUE!,31.51764706,58.8427451,31.19019608,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,136.3,13.65,9.21,82.84,5.59,4.31,5.48,102,47.96683706,29.2823723
1923.4.15.27,orientalis,ad,NA,oct,1920,28.00941176,57.4,14.57411765,31.21270588,50.34941176,41.85215686,#VALUE!,#VALUE!,#VALUE!,35.054,251.535,203.062,303,165,15.47,10.32,89.1,5.52,4.14,6.09,106,39.24233413,-7.323692
91.8.1.129,orientalis,ad,NA,feb,1871,31.26776471,58.37686275,13.78823529,31.86635294,51.8027451,38.24117647,29.90823529,56.48901961,24.46,NA,NA,NA,304,122.43,13.92,8.7,78.03,6.19,4.1,5.2,105,30.66818973,29.4207508
1900.8.4.22,orientalis,ad,NA,jan,1900,29.41270588,58.93686275,13.82,30.45458824,44.28392157,43.97333333,26.33505882,55.18117647,19.0254902,NA,NA,NA,280,121.09,13.44,9.32,81.48,6.53,4.19,6.21,,7.44756224,10.5862486
1923.8.7.771,orientalis,1y,m,nov,1917,30.65364706,60.10588235,14.84117647,31.10541176,51.02588235,32.58392157,28.42870588,59.37803922,23.63529412,NA,NA,NA,291,147.59,13.14,8.3,85.83,5.45,3.89,5.56,104,38.32335275,-9.4304822
69.10.17.432,orientalis,ad,f,jan,1868,33.63529412,57.54039216,12.3227451,30.47294118,58.93490196,27.26941176,27.54352941,53.2572549,19.71254902,34.776,251.891,209.182,303,158,,,,,,5.29,118,37.85860649,-6.9892275
1933.6.11.2,orientalis,ad,NA,nov,1920,29.24188235,56.75803922,15.50196078,33.76941176,55.8854902,39.02431373,28.04470588,54.6454902,15.91333333,NA,NA,NA,,135.82,14.37,,84.17,5.78,5.03,5.17,100,39.19628995,-7.0193623
1961.9.38,orientalis,1y,m,sep,1956,30.46305882,57.09843137,14.40823529,32.03576471,50.90980392,32.92352941,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,282,135.81,13.82,,88.15,5.69,4.22,4.93,102,9.225541333,4.047519
1923.8.7.772,orientalis,ad,m,mar,1919,31.02070588,60.58392157,11.57882353,31.68564706,58.41764706,38.33411765,28.18729412,57.81686275,25.76117647,NA,NA,NA,288,,13.79,10.16,,,,4.96,100,46.19903108,10.180877
1918.12.24.151,orientalis,ad,m,aug,1908,29.89270588,59.92823529,8.213333333,31.57129412,60.54470588,29.99098039,26.36752941,58.55803922,13.66666667,NA,NA,NA,290,140.63,13.8,10.42,85.8,5.2,4.05,4.16,105,32.27542019,6.0263999
1923.8.7.773,orientalis,ad,m,jul,1917,32.23623529,54.92039216,12.29882353,29.57929412,46.4,39.98745098,25.57552941,52.65647059,24.15843137,NA,NA,NA,290,142.32,14.35,9.91,,,,6.15,102,44.56410865,10.2204782
91.8.1.131,orientalis,ad,f,jan,1872,30.90070588,60.24941176,10.39137255,30.05505882,55.98039216,29.90980392,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,138.75,,,85.94,5.3,4.54,5.63,104,14.21817893,-13.0734366
1955.1.991,orientalis,1y,f,sep,1917,29.59623529,62.69176471,10.11215686,31.07294118,51.36117647,41.40078431,27.71294118,59.26588235,13.66078431,NA,NA,NA,300,151.81,12.46,10.34,89.62,5.85,4.39,5.86,103,100.5610583,13.5889551
91.10.5.565,orientalis,ad,NA,nov,1865,28.81694118,57.08078431,18.23490196,29.98164706,53.17098039,35.63137255,27.69035294,59.99019608,16.54784314,35.122,249.672,154.445,296,181,14.74,9.73,,,,5.77,100,102.2766331,2.3333024
91.10.1.1879,orientalis,ad,f,may,1874,30.09317647,57.3,11.37607843,32.11905882,54.76705882,40.55490196,27.31905882,60.08078431,12.28588235,NA,NA,NA,297,180,15.05,10.1,94.79,6.53,4.39,6.43,103,98.2107355,13.8176899
91.10.1.1880,orientalis,1y,f,nov,1974,28.29176471,60.07647059,11.52784314,31.07858824,55.40705882,38.1054902,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,309,161,14.19,10.46,89.8,6.01,4.43,,109,98.1594972,13.8844297
91.10.1.1882,orientalis,ad,m,may,1974,29.088,61.75568627,14.50784314,30.48705882,56.58705882,31.75019608,26.65411765,57.24470588,17.82745098,NA,NA,NA,287,139.17,13.33,9.61,84.38,5.65,3.82,5.42,90,98.19556218,13.9429538
91.10.5.566,orientalis,ad,m,feb,1974,29.20235294,60.48392157,9.076078431,28.87482353,51.7345098,35.86,25.92705882,56.27372549,11.94588235,NA,NA,NA,277,130.32,13.37,10.54,83.42,5.76,3.96,5.11,92,92.84479,12.67971
1955.1.995,orientalis,ad,f,mar,1916,29.064,59.83843137,12.30745098,31.35670588,61.62235294,33.49647059,26.664,59.66588235,15.88156863,34.371,252.609,206.044,297,169,,,,,,5.94,106,103.6482201,16.9559218
1932.5.14.23,orientalis,ad,m,feb,1932,33.37976471,57.55137255,12.98078431,31.50917647,57.05411765,32.21137255,28.11529412,54.55411765,24.19607843,NA,NA,NA,287,128.31,14.39,10.38,79.8,5.97,3.96,5.43,95,105.7877104,9.2609305
1906.12.21.117,orientalis,ad,f,mar,1906,34.47952941,57.13215686,14.39529412,28.25788235,49.41058824,32.76156863,29.80235294,59.78392157,15.2145098,NA,NA,NA,299,10.45,,,85.58,6.9,4.32,5.45,101,45.16486103,-12.7749741
91.10.1.1873,orientalis,ad,m,jan,1891,28.09552941,61.76470588,11.0945098,32.28,56.88627451,34.09176471,27.22870588,58.2572549,17.23254902,NA,NA,NA,,130.21,,,83.98,6.16,4.06,5.05,93,92.72093569,11.619408
98.10.1.1876,orientalis,ad,f,jan,1898,31.42870588,59.22862745,11.7654902,31.99623529,47.23647059,45.90588235,26.89835294,57.92823529,17.56235294,35.021,251.492,192.214,,186,16,11.47,90.21,6.2,4.19,5.69,101,92.73393658,11.5800441
1926.8.9.16,orientalis,ad,f,jun,1925,32.30541176,53.3545098,19.46078431,28.61364706,46.90666667,48.39882353,31.88752941,52.92470588,14.76,NA,NA,NA,293,170,,10.24,,,,5.78,101,39.75616672,-5.2111165
69.10.17.433,orientalis,ad,m,jan,1868,32.53129412,54.61647059,9.734509804,32.43529412,50.33176471,40.97215686,29.41835294,54.74431373,9.081568627,NA,NA,NA,302,141.17,14.73,9.89,87,,,5.09,108,38.31755952,-7.6829195
1949.74.1,orientalis,ad,m,nov,1949,31.99482353,55.76784314,11.32666667,29.87858824,50.76509804,46.21607843,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,304,146.76,14.55,8.63,,,,5.45,99,7.570968027,4.4749261
1926.8.9.15,orientalis,ad,NA,jun,1925,31.72658824,55.57803922,16.76823529,33.07623529,53.38980392,35.01098039,28.72517647,56.89411765,13.47843137,NA,NA,NA,,127.02,13.34,8.86,76.03,5.87,4.15,4.97,92,39.7878869,-5.0589867
1931.8.18.905,orientalis,ad,f,dec,1930,30.56047059,56.96470588,15.60196078,31.368,57.76666667,27.86745098,28.87764706,53.4627451,16.34941176,34.367,252.744,184.992,299,171,,,89.26,6,4.5,5.28,105,48.24691644,-13.3214542
1946.5.115,orientalis,ad,f,sep,1942,30.06494118,56.91607843,12.34901961,31.70964706,58.67529412,32.07019608,28.87905882,53.30745098,14.14156863,NA,NA,NA,313,156,,,88.19,6.54,4.44,5.87,115,34.96905227,-14.3621726
1923.8.7.774,orientalis,ad,m,jul,1917,#VALUE!,#VALUE!,#VALUE!,30.53647059,59.78745098,25.67137255,26.43105882,61.24705882,18.28745098,NA,NA,NA,285,140.77,12.58,8.43,,,,,,47.07462856,9.9664348
1949.9.26,orientalis,1y,f,aug,1941,30.36141176,59.03137255,11.07529412,28.62917647,43.16627451,38.24392157,27.63952941,56.9054902,13.84666667,NA,NA,NA,303,153.68,,,,,,6.78,97,113.9032627,23.3142279
(japanese writing),orientalis,ad,m,apr,1881,29.712,59.23411765,13.40941176,32.30541176,62.28196078,33.97921569,29.19670588,62.61254902,11.88705882,NA,NA,NA,,165,,,88.69,6.11,5.13,5.57,111,139.0083606,36.2403356
1927.1.10.230,orientalis,1y,NA,oct,1926,27.05788235,58.10156863,10.91686275,31.36094118,57.9054902,29.89882353,27.44188235,58.57647059,10.64156863,33.817,253.612,182.224,284,141.9,13.85,10.3,,,,,,89.6522037,28.8897635
96.6.6.1349,orientalis,ad,m,feb,1896,35.63294118,57.00196078,9.964313725,30.99388235,46.63411765,49.66156863,29.56235294,51.73137255,19.27372549,NA,NA,NA,283,125.53,,,83.04,5.67,4.21,4.75,100,123.2786285,9.2950085
1935.10.23.32,orientalis,ad,f,jul,1932,30.52094118,57.81843137,12.92078431,31.68282353,51.45921569,44.81921569,29.31670588,55.22862745,19.82941176,NA,NA,NA,297,181,16.45,11.53,88.18,6.62,4.75,5.81,109,113.3185518,22.7176951
84.1.16.107,orientalis,ad,NA,nov,1881,39.53788235,57.59137255,10.00509804,32.47482353,59.48431373,29.57294118,30.216,57.43960784,16.77686275,NA,NA,NA,290,133.92,,,81.09,6,4.3,5.4,106,136.471755,35.1278605
94.2.19.47,orientalis,ad,m,jan,1868,32.84188235,58.39647059,12.23843137,32.04282353,58.07960784,31.44862745,30.92470588,60.88627451,13.25647059,NA,NA,NA,301,134.84,,,82.44,,,,,118.7389724,25.0631004
91.1.1.1851,orientalis,ad,NA,feb,1870,30.31482353,61.35921569,10.27843137,30.46870588,58.63176471,25.0145098,28.83811765,62.65058824,19.52,34.586,252.661,219.078,,,,,,,,,,77.80306867,30.1996573
80.1.1.2832,orientalis,ad,NA,dec,1879,29.10070588,61.12039216,13.23098039,31.43858824,59.62156863,30.4945098,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,88.26287404,27.0401605
91.10.1.1855,orientalis,ad,m,mar,1876,32.22211765,58.90627451,12.35843137,30.05223529,50.85803922,40.75019608,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,88.3596397,22.5369529
Lot 106,orientalis,ad,m,jan,NA,32.16141176,55.6654902,10.4054902,31.99764706,57.53294118,23.6,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,88.3596397,22.5575882
1960.12.67,orientalis,ad,f,dec,1958,29.40705882,55.25098039,20.96509804,30.37976471,46.13411765,46.05058824,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,73.25843188,0.4631664
91.10.1.1848,orientalis,ad,NA,jan,1891,28.38070588,61.28078431,13.0827451,30.13976471,57.21921569,33.40196078,27.91482353,62.03764706,13.22352941,35.028,250.434,222.005,,,,,,,,,,79.15549527,22.2585651
1949.Whi.1.1178,orientalis,1y,m,sep,1936,30.04094118,59.82392157,12.05490196,30.78070588,54.74235294,32.35411765,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,85.11596405,25.5961727
1940.12.3.610,orientalis,ad,m,nov,1937,32.68517647,53.97294118,13.24901961,31.47811765,48.97294118,32.32980392,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,80.859375,7.3406748
91.10.1.1847,orientalis,ad,NA,mar,1868,30.75670588,61.02941176,15.11960784,30.35435294,60.30941176,34.41098039,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,78.84638832,25.1343479
91.10.1.1878,orientalis,1y,f,sep,1873,30.60423529,57.68392157,8.992941176,30.19623529,48.24588235,33.03098039,27.13976471,57.43019608,12.5345098,NA,NA,NA,,,,,,,,,,92.71239115,12.0161793
91.10.1.1874,orientalis,ad,NA,jan,1891,30.768,54.01294118,19.55019608,29.47905882,47.18313725,33.74745098,27.20752941,51.43529412,20.99607843,35.16,248.761,214.603,,,,,,,,,,92.65702671,11.8119934
91.10.1.1872,orientalis,ad,f,jan,1876,32.05129412,54.93921569,16.71803922,32.68517647,52.23490196,31.40352941,27.61129412,53.37215686,16.43568627,NA,NA,NA,,,,,,,,,,76.78647776,26.5247462
1955.1.994,orientalis,ad,m,may,1917,32.05129412,54.93921569,16.71803922,30.89929412,56.38392157,32.21411765,27.55482353,57.30039216,16.84352941,NA,NA,NA,,,,,,,,,,102.0901371,12.6055206
1910.5.8.25,orientalis,1y,m,sep,1908,27.65788235,56.03803922,18.44313725,30.25552941,48.80941176,27.22901961,26.83058824,57.50117647,15.39607843,NA,NA,NA,,,,,,,,,,109.1903694,12.1994902
91.10.1.1884,orientalis,ad,f,may,1874,30.01976471,53.17921569,15.42313725,30.97411765,48.77137255,36.45372549,28.72094118,49.81411765,15.6454902,NA,NA,NA,,,,,,,,,,98.25044931,13.8666859
1955.1.996,orientalis,ad,f,mar,1916,32.77129412,52.75843137,15.06745098,30.87811765,53.07058824,33.13803922,27.99811765,54.96862745,14.97803922,34.974,248.125,224.184,,,,,,,,,,102.1216878,12.597107
tweedle collection 2,orientalis,ad,f,dec,1866,33.57458824,53.88470588,11.10156863,30.70870588,52.37803922,32.4227451,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,118.7669785,25.2065962
80.1.1.1492,orientalis,1y,NA,oct,1880,29.25882353,58.3,13.23254902,33.39811765,55.58470588,32.94509804,26.10352941,60.16509804,16.92470588,NA,NA,NA,,,,,,,,,,116.4895434,24.5468354
1935.10.23.33,orientalis,ad,m,nov,1932,35.59764706,50.7945098,11.41176471,31.38070588,47.0945098,43.88117647,27.53505882,52.61294118,21.69019608,NA,NA,NA,,,,,,,,,,113.6576629,23.1860884
1903.7.3.850,orientalis,ad,NA,dec,1890,30.10164706,54.68313725,14.88509804,33.34447059,50.46745098,45.70862745,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,119.3422396,26.1503867
94.2.19.65,orientalis,ad,m,oct,1867,32.70211765,57.21411765,13.01647059,30.70588235,52.76117647,36.79215686,29.36752941,58.84392157,17.06,35.317,246.606,206.589,,,,,,,,,,118.8132985,24.9609485
1946.28.150,orientalis,1y,f,oct,1942,27.89505882,59.24392157,10.81960784,31.28047059,56.83686275,26.26627451,26.64423529,59.95764706,11.7454902,NA,NA,NA,,,,,,,,,,80.7393704,6.1888455
94.2.19.48,orientalis,ad,f,dec,1867,30.18635294,55.65333333,14.56117647,30.73694118,53.59490196,28.90039216,28.71811765,56.99098039,14.61019608,NA,NA,NA,,,,,,,,,,118.8443293,25.0917108
96.7.1.752,orientalis,ad,NA,nov,1896,31.19152941,56.86313725,14.29921569,29.76423529,41.59843137,52.94470588,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,139.5883123,35.6435302
1935.10.23.34,orientalis,ad,m,feb,1933,29.53694118,53.48862745,15.9172549,31.74917647,52.49176471,36.16509804,27.90494118,52.55490196,16.56588235,NA,NA,NA,,,,,,,,,,113.89311,22.8840935
21.71,orientalis,ad,NA,nov,NA,30.29082353,61.61960784,12.91529412,31.14917647,55.06666667,40.13960784,#VALUE!,#VALUE!,#VALUE!,34.97,246.272,217.985,,,,,,,,,,115.9895265,23.6456004
94.2.19.61,orientalis,ad,NA,nov,1894,33.00141176,55.69176471,13.08588235,31.75623529,51.3772549,42.16980392,28.76188235,56.51686275,19.77843137,NA,NA,NA,,,,,,,,,,139.6136335,35.5419268
1949.9.27,orientalis,1y,m,aug,1941,30.13976471,57.74313725,13.93176471,30,42.60901961,42.49058824,27.07058824,54.33333333,20.0772549,NA,NA,NA,,,,,,,,,,116.6114546,24.5182007
1909.11.20.11,orientalis,1y,m,jun,1908,32.96470588,54.58470588,11.72862745,30.82870588,48.57254902,41.03098039,30.95011765,49.46901961,18.05411765,NA,NA,NA,,,,,,,,,,124.2239573,50.462033
94.2.19.63,orientalis,ad,NA,nov,1894,31.99905882,57.06352941,11.59764706,30.73411765,48.66901961,33.90588235,28.54023529,56.87254902,15.79843137,NA,NA,NA,,,,,,,,,,139.522195,35.4630447
94.2.19.60,orientalis,ad,NA,nov,1894,32.27011765,54.31843137,12.41411765,31.90447059,46.91607843,41.99254902,26.97458824,50.58980392,13.37960784,34.984,246.554,141.085,,,,,,,,,,139.5191166,35.5457422
1908.1.8.308,orientalis,ad,f,nov,1894,31.68564706,55.51058824,12.95411765,30.91905882,54.97647059,40.0372549,28.38211765,59.54941176,15.81411765,NA,NA,NA,,,,,,,,,,121.424934,31.2030969
94.2.19.64,orientalis,ad,f,feb,1862,30.80894118,59.84,12.03803922,30.09317647,59.58078431,25.78117647,29.73035294,60.21882353,13.95529412,NA,NA,NA,,,,,,,,,,120.9768007,23.555574
1935.10.23.35,orientalis,ad,m,jul,1933,31.07011765,55.85215686,11.18745098,32.38447059,56.52784314,36.3854902,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,113.2643067,22.4223541
1935.10.23.30,orientalis,ad,f,may,1932,32.712,53.45607843,14.64705882,32.62023529,49.58235294,36.18705882,29.87858824,54.43490196,18.53921569,NA,NA,NA,,,,,,,,,,113.2261316,22.5281805
07.12.17.175,orientalis,ad,NA,jul,1907,32.07388235,55.39098039,13.89529412,31.06447059,51.47568627,42.75921569,30.13694118,55.05372549,11.97803922,34.927,245.934,200.843,,,,,,,,,,117.2629877,39.0387695
1908.1.8.309,orientalis,ad,f,nov,1899,31.27764706,58.18823529,13.81098039,31.14211765,59.22666667,32.81764706,28.63341176,61.50745098,19.09215686,NA,NA,NA,,,,,,,,,,121.450144,31.1601001
1914.8.30.25,orientalis,ad,f,apr,1913,33.45176471,54.74,10.19647059,32.52141176,49.87098039,40.03647059,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,,,,,,,,,,119.5414964,39.9028785
94.2.19.66,orientalis,ad,f,dec,1866,29.25035294,50.87490196,22.65137255,30.84423529,53.99294118,32.62901961,28.01505882,56.72823529,15.29529412,NA,NA,NA,,,,,,,,,,118.6995823,25.0297513
1935.10.23.31,orientalis,ad,m,aug,1933,29.43811765,59.58980392,15.02431373,32.33364706,53.86784314,41.05647059,28.11529412,57.48941176,19.01960784,NA,NA,NA,,,,,,,,,,113.6724281,22.8553294
1894.2.19.46,orientalis,ad,NA,nov,1894,32.84611765,56.55058824,11.19803922,31.896,48.7972549,35.0427451,29.11341176,54.05294118,17.95607843,34.968,248.266,201.847,,,,,,,,,,139.6251027,35.5860727
